"filename", "language", "YAML", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Docker", "Properties", "Markdown", "SCSS", "JavaScript", "Shell Script", "Batch", "Less", "comment", "blank", "total"
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\bin\Debug\net8.0\appsettings.local.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.g.props", "XML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\ApiGateWay.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.AssemblyInfo.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 24
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\ApiGateWay.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\staticwebassets\msbuild.build.ApiGateWay.props", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.ApiGateWay.props", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.ApiGateWay.props", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\project.assets.json", "JSON", 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Gateway\ApiGateWay\obj\project.packagespec.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\ProductNotFoundException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket.API.csproj", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\CheckoutCart\CheckoutCartEndpoint.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\CheckoutCart\CheckoutCartHandler.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\DeleteCart\DeleteCartEndpoint.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\DeleteCart\DeleteCartHandler.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\GetCart\GetCartEndpoint.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\GetCart\GetCartHandler.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
